candidate_id,base_mode,variant,cadence_bars,overrides,definition_hash,changed_components,native_cadences,weighted_gross_exposure,weighted_target_allocation,max_order_value_sum,full_gate_pass,full_gate_reasons,train_status,train_trade_count,train_liquidation_count,train_wall_seconds,train_final_equity,train_total_return,train_cagr,train_sharpe,train_sortino,train_calmar,train_max_drawdown,train_volatility,train_raw_total_return,train_raw_max_drawdown,train_min_equity,train_raw_final_equity,train_equity_breach_count,train_equity_breach_observed,val_status,val_trade_count,val_liquidation_count,val_wall_seconds,val_final_equity,val_total_return,val_cagr,val_sharpe,val_sortino,val_calmar,val_max_drawdown,val_volatility,val_raw_total_return,val_raw_max_drawdown,val_min_equity,val_raw_final_equity,val_equity_breach_count,val_equity_breach_observed,oos_status,oos_trade_count,oos_liquidation_count,oos_wall_seconds,oos_final_equity,oos_total_return,oos_cagr,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_volatility,oos_raw_total_return,oos_raw_max_drawdown,oos_min_equity,oos_raw_final_equity,oos_equity_breach_count,oos_equity_breach_observed
profit_moonshot_taker_flow_exhaustion_eth_reactive_mode__cadence_15b,profit_moonshot_taker_flow_exhaustion_eth_reactive_mode,cadence_15b,15,{'profit_moonshot_taker_flow_exhaustion_eth_reactive_us_eu_vol_guard': {'evaluation_cadence_bars': 15}},ec9896ed7a3b65d378cbf47d221cd43b0e8b0d6be16b7cc681b52711326abf2e,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.163266778000434,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_reactive_mode__cadence_60b,profit_moonshot_taker_flow_exhaustion_eth_reactive_mode,cadence_60b,60,{'profit_moonshot_taker_flow_exhaustion_eth_reactive_us_eu_vol_guard': {'evaluation_cadence_bars': 60}},b2ce16b773cc85ed71f1880e27cef114d34e38b983fd6e4590480f4714e16da9,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1586804700000357,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_reactive_mode__cadence_360b,profit_moonshot_taker_flow_exhaustion_eth_reactive_mode,cadence_360b,360,{'profit_moonshot_taker_flow_exhaustion_eth_reactive_us_eu_vol_guard': {'evaluation_cadence_bars': 360}},42ad172691c3ba5f95c82427f5213ec648308d02a2c790fccf78270ec1227e1b,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.16842952400020295,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_reactive_mode__cadence_1440b,profit_moonshot_taker_flow_exhaustion_eth_reactive_mode,cadence_1440b,1440,{'profit_moonshot_taker_flow_exhaustion_eth_reactive_us_eu_vol_guard': {'evaluation_cadence_bars': 1440}},6629261f6369426b2f9753772d68fb249545a1acbe8ea956db0ac33b81b380d7,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1681035649999103,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode__native,profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode,native,,{},96dcdb6f7667b510f4f545dec4dba7a9d31c507306f35d164f3060503c7a2dc6,0,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.19359275700026046,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode__cadence_15b,profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode,cadence_15b,15,{'profit_moonshot_taker_flow_exhaustion_eth_6h_mom_cooldown_guard': {'evaluation_cadence_bars': 15}},1f4ff881c6025034bf6240b735e22d1d0cb68e09b89c30ee613a87a8dc803603,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1794813790002081,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode__cadence_60b,profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode,cadence_60b,60,{'profit_moonshot_taker_flow_exhaustion_eth_6h_mom_cooldown_guard': {'evaluation_cadence_bars': 60}},da8ade909b1eff6361dda876f152a7e4877567b08ce61bda68a2dab1cf4cc4af,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.1747610309994343,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode__cadence_360b,profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode,cadence_360b,360,{'profit_moonshot_taker_flow_exhaustion_eth_6h_mom_cooldown_guard': {'evaluation_cadence_bars': 360}},9e469d2fc13992cccfac27d96f19e7860bedd763efe10229531cefc5c72dc23e,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.15949539099983667,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode__cadence_1440b,profit_moonshot_taker_flow_exhaustion_eth_slow_momentum_mode,cadence_1440b,1440,{'profit_moonshot_taker_flow_exhaustion_eth_6h_mom_cooldown_guard': {'evaluation_cadence_bars': 1440}},17f771dbe0e5776c0d7f33ba20bb3d59188b22ad6b2a0ebb1680aad462170c7e,1,[1],0.0,0.008,175.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.16123119599978963,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_trend_mode__native,profit_moonshot_trend_mode,native,,{},042bebc8189650570ea7f519861c6ce16a4f6ae25008097de2fec5fe79807ad7,0,[720],0.008,0.0,150.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.2948607459993582,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
profit_moonshot_trend_mode__cadence_1b,profit_moonshot_trend_mode,cadence_1b,1,{'profit_moonshot_trend_balanced': {'rebalance_bars': 1}},3484fb7cb0469961f8191d7567ae39ea5a0ae8359a703291e48f40bb23859765,1,[720],0.008,0.0,150.0,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,completed,0,0,0.3028242919999684,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,False,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
